 kx | ky | kz | Total energy (eV / atom)
    3     3     3  -3.007174911191e+02
    4     4     4  -2.995216103120e+02
    5     5     5  -2.992878057847e+02
    6     6     6  -2.992947638160e+02
    7     7     7  -2.993716248342e+02
    8     8     8  -2.993888319098e+02
    9     9     9  -2.993925801838e+02
   10    10    10  -2.994109754792e+02
   11    11    11  -2.994170342998e+02
   12    12    12  -2.993971175831e+02
   13    13    13  -2.993994008815e+02
   14    14    14  -2.994081717171e+02
   15    15    15  -2.994148100553e+02
   16    16    16  -2.994102108189e+02
   17    17    17  -2.994012446940e+02
   18    18    18  -2.993980807248e+02
