--------------------
# Delta values of ev_data_dzp.txt with respect to ev_data_pw.txt (in meV/atom)
# (71 elements of 71 included)
# calculated with calcDelta.py version 3.1 
# from left to right: Delta [meV/atom] - relative Delta [%] - Delta1 [meV/atom]
--------------------
H	 3.861	 171.1	64.985 
He	 0.017	 19.5	3.008 
Li	 0.834	 59.2	9.170 
Be	 0.324	 6.4	0.976 
B	 2.658	 31.3	4.842 
C	 7.933	 62.9	9.863 
N	 31.013	 179.3	64.040 
O	 39.267	 125.9	131.744 
F	 18.127	 159.6	87.306 
Ne	 1.153	 178.4	76.960 
Na	 0.124	 8.5	1.291 
Mg	 0.746	 16.8	2.557 
Al	 7.487	 105.9	17.697 
Si	 15.523	 151.2	28.198 
P	 24.218	 185.2	52.296 
S	 17.410	 178.0	41.617 
Cl	 30.309	 121.6	131.482 
Ar	 1.147	 186.0	40.826 
K	 1.464	 104.0	17.198 
Ca	 2.380	 58.6	9.053 
Sc	 1.309	 19.2	2.915 
Ti	 2.582	 25.6	3.898 
V	 3.617	 27.6	4.211 
Cr	 1.549	 10.0	1.523 
Mn	 2.235	 15.4	2.340 
Fe	 5.661	 40.2	6.149 
Co	 5.521	 41.2	6.332 
Ni	 5.847	 49.3	7.642 
Cu	 6.642	 73.6	11.548 
Zn	 1.893	 32.3	4.980 
Ga	 2.575	 50.6	7.736 
Ge	 6.307	 86.0	13.747 
As	 4.884	 61.6	9.591 
Se	 2.159	 28.6	4.378 
Br	 20.294	 170.0	74.388 
Kr	 1.086	 182.9	58.369 
Rb	 0.028	 2.2	0.332 
Sr	 17.023	 167.3	75.466 
Y	 1.981	 27.8	4.256 
Zr	 1.791	 15.2	2.310 
Nb	 3.782	 22.5	3.437 
Mo	 8.549	 39.0	6.011 
Tc	 18.838	 82.4	13.174 
Ru	 15.579	 68.2	10.766 
Rh	 15.829	 82.5	13.151 
Pd	 23.861	 141.4	25.345 
Ag	 5.771	 68.6	10.839 
Cd	 1.666	 34.8	5.390 
In	 6.123	 116.8	19.459 
Sn	 5.889	 85.2	13.604 
Sb	 11.007	 120.3	20.389 
Te	 12.484	 134.8	23.867 
I	 17.429	 183.6	56.373 
Xe	 1.377	 176.3	66.217 
Cs	 0.298	 25.0	3.827 
Ba	 15.275	 187.8	52.284 
Lu	 2.631	 1.0	0.157 
Hf	 18.146	 77.3	12.270 
Ta	 6.016	 30.4	4.653 
W	 20.559	 77.7	12.136 
Re	 16.366	 56.6	8.800 
Os	 18.380	 61.1	9.566 
Ir	 15.109	 58.3	9.128 
Pt	 10.637	 54.1	8.420 
Au	 10.792	 81.9	13.125 
Hg	 4.363	 157.4	71.453 
Tl	 0.610	 14.3	2.183 
Pb	 3.048	 44.1	6.786 
Bi	 8.266	 96.8	15.780 
Po	 10.068	 104.3	16.964 
Rn	 1.097	 184.8	53.062 
--------------------
np.mean  8.603	 83.2	23.744
np.std   8.578	 59.5	29.592
np.max   39.267	 187.8	131.744 	 (O, Ba, O)
np.min   0.017	 1.0	0.157 	 (He, Lu, Lu)
--------------------
