--------------------
# Delta values of ev_data_dzp.txt with respect to ev_data_pw.txt (in meV/atom)
# (70 elements of 71 included)
# calculated with calcDelta.py version 3.1 
# from left to right: Delta [meV/atom] - relative Delta [%] - Delta1 [meV/atom]
--------------------
H	 4.211	 168.5	80.768 
He	 0.156	 51.6	8.037 
Li	 0.186	 11.1	1.686 
Be	 1.613	 33.5	5.137 
B	 3.652	 40.1	6.130 
C	 7.775	 59.6	9.278 
N	 31.945	 177.9	68.256 
O	 41.546	 124.7	127.129 
F	 19.994	 153.1	89.471 
Ne	 0.257	 32.6	5.035 
Na	 0.577	 38.1	5.812 
Mg	 1.328	 27.2	4.118 
Al	 7.892	 119.0	19.501 
Si	 15.115	 143.8	26.151 
P	 24.065	 184.3	49.266 
S	 18.165	 160.1	32.340 
Cl	 32.646	 125.3	136.432 
Ar	 2.367	 127.0	21.628 
K	 0.523	 36.0	5.281 
Ca	 3.190	 67.1	10.445 
Sc	 1.191	 16.7	2.531 
Ti	 3.259	 30.3	4.641 
V	 4.138	 33.7	5.195 
Cr	 2.803	 16.4	2.506 
Mn	 5.561	 33.7	5.135 
Fe	 5.488	 32.4	5.004 
Co	 5.415	 34.4	5.296 
Ni	 7.046	 45.3	6.936 
Cu	 7.742	 65.8	10.029 
Zn	 4.721	 59.9	9.336 
Ga	 2.062	 36.4	5.637 
Ge	 5.390	 68.3	10.773 
As	 5.165	 61.9	9.681 
Se	 4.280	 51.5	7.990 
Br	 22.530	 177.3	68.407 
Kr	 1.379	 77.0	12.112 
Rb	 1.189	 111.6	15.261 
Sr	 20.236	 153.8	92.703 
Y	 3.061	 44.6	6.830 
Zr	 5.938	 49.7	7.677 
Nb	 5.058	 29.6	4.534 
Mo	 11.019	 47.2	7.287 
Tc	 22.363	 85.6	13.702 
Ru	 19.949	 76.9	12.223 
Rh	 22.534	 105.6	17.586 
Pd	 28.856	 141.0	25.252 
Ag	 6.846	 56.5	8.931 
Cd	 3.522	 44.8	7.004 
In	 3.462	 52.6	8.204 
Sn	 10.362	 121.0	20.580 
Sb	 13.171	 130.9	22.796 
Te	 13.492	 131.2	23.056 
I	 18.461	 185.1	53.256 
Xe	 147.201	 148.6	654.704 
Cs	 2.143	 139.1	23.247 
Ba	 4.530	 87.9	13.029 
Lu	 N/A 	 N/A 	N/A 
Hf	 5.939	 45.1	6.935 
Ta	 15.164	 73.7	11.682 
W	 13.095	 45.2	6.926 
Re	 18.682	 60.6	9.467 
Os	 22.409	 67.3	10.587 
Ir	 19.650	 67.0	10.538 
Pt	 8.957	 38.8	6.008 
Au	 10.748	 64.4	10.113 
Hg	 9.276	 79.6	12.561 
Tl	 1.696	 28.6	4.389 
Pb	 3.067	 37.6	5.742 
Bi	 9.884	 98.8	16.042 
Po	 13.068	 113.5	18.453 
Rn	 2.331	 105.6	17.761 
--------------------
np.mean  11.753	 79.9	29.545
np.std   18.652	 48.0	80.156
np.max   147.201	 185.1	654.704 	 (Xe, I, Xe)
np.min   0.156	 11.1	1.686 	 (He, Li, Li)
--------------------
