--------------------
# Delta values of ev_data_szp.txt with respect to ev_data_pw.txt (in meV/atom)
# (70 elements of 71 included)
# calculated with calcDelta.py version 3.1 
# from left to right: Delta [meV/atom] - relative Delta [%] - Delta1 [meV/atom]
--------------------
H	 2.868	 190.4	73.759 
He	 0.456	 136.8	24.448 
Li	 0.175	 10.5	1.592 
Be	 2.006	 40.7	6.241 
B	 12.052	 123.2	21.403 
C	 20.704	 144.7	26.060 
N	 122.003	 131.9	303.357 
O	 71.703	 103.9	240.167 
F	 31.297	 104.8	136.073 
Ne	 0.431	 52.1	8.124 
Na	 0.885	 55.1	8.515 
Mg	 1.337	 27.3	4.128 
Al	 14.220	 166.1	34.315 
Si	 17.696	 154.2	29.238 
P	 31.754	 180.2	64.408 
S	 23.148	 176.7	41.110 
Cl	 42.005	 97.6	169.316 
Ar	 0.650	 47.7	7.356 
K	 3.401	 175.2	38.852 
Ca	 4.115	 85.1	13.626 
Sc	 4.375	 62.6	9.766 
Ti	 8.117	 71.5	11.249 
V	 17.054	 116.1	19.419 
Cr	 4.324	 24.6	3.754 
Mn	 25.183	 129.3	22.542 
Fe	 23.420	 123.2	21.329 
Co	 24.112	 137.1	24.453 
Ni	 22.413	 121.7	20.796 
Cu	 11.708	 78.7	11.896 
Zn	 5.612	 70.7	11.138 
Ga	 7.735	 116.4	19.709 
Ge	 12.633	 137.4	24.507 
As	 37.001	 183.3	59.060 
Se	 86.656	 134.9	119.327 
Br	 29.900	 155.6	90.517 
Kr	 0.437	 28.5	4.402 
Rb	 1.848	 139.9	20.489 
Sr	 10.711	 178.9	40.353 
Y	 6.165	 88.8	14.240 
Zr	 14.864	 124.0	21.272 
Nb	 8.925	 46.9	7.227 
Mo	 13.492	 58.3	9.127 
Tc	 38.740	 132.9	23.381 
Ru	 27.873	 101.3	16.615 
Rh	 29.261	 121.7	20.809 
Pd	 18.977	 97.5	15.732 
Ag	 6.363	 52.5	8.195 
Cd	 2.578	 33.4	5.178 
In	 6.293	 94.4	15.376 
Sn	 13.131	 138.2	24.623 
Sb	 18.143	 156.4	29.599 
Te	 20.801	 170.1	35.645 
I	 23.014	 176.6	64.674 
Xe	 140.276	 146.5	635.849 
Cs	 2.601	 156.7	28.876 
Ba	 3.114	 69.6	10.065 
Lu	 N/A 	 N/A 	N/A 
Hf	 13.232	 98.2	15.956 
Ta	 16.659	 78.5	12.448 
W	 20.950	 74.9	11.789 
Re	 20.806	 66.1	10.389 
Os	 29.566	 87.7	14.160 
Ir	 27.440	 94.2	14.776 
Pt	 11.585	 49.6	7.749 
Au	 14.886	 88.8	14.359 
Hg	 11.023	 89.0	14.473 
Tl	 4.470	 74.4	11.799 
Pb	 4.441	 52.2	8.067 
Bi	 40.654	 170.1	40.005 
Po	 17.638	 148.9	27.186 
Rn	 1.209	 55.9	8.792 
--------------------
np.mean  19.505	 105.8	42.646
np.std   24.626	 46.5	87.619
np.max   140.276	 190.4	635.849 	 (Xe, H, Xe)
np.min   0.175	 10.5	1.592 	 (Li, Li, Li)
--------------------
