--------------------
# Delta values of ev_data_sz.txt with respect to ev_data_pw.txt (in meV/atom)
# (70 elements of 71 included)
# calculated with calcDelta.py version 3.1 
# from left to right: Delta [meV/atom] - relative Delta [%] - Delta1 [meV/atom]
--------------------
H	 33.420	 88.0	576.534 
He	 0.266	 92.3	15.339 
Li	 21.407	 96.3	200.034 
Be	 2441.768	 580.9	5049.048 
B	 35.050	 182.0	60.651 
C	 59.114	 172.1	74.248 
N	 197.921	 89.5	417.609 
O	 317217.288	 201.6	18208.269 
F	 33.939	 97.8	153.932 
Ne	 0.493	 61.0	9.598 
Na	 3.381	 167.5	34.412 
Mg	 352.797	 87.3	1284.599 
Al	 60.366	 196.4	259.153 
Si	 37.063	 180.9	63.122 
P	 100.177	 85.4	200.700 
S	 101.364	 113.8	168.970 
Cl	 58.136	 66.4	222.760 
Ar	 1.361	 110.6	18.390 
K	 1.496	 120.7	23.906 
Ca	 8313.596	 190.0	10978.458 
Sc	 15.353	 162.3	31.911 
Ti	 9.105	 79.1	12.511 
V	 5.486	 41.4	6.367 
Cr	 96.372	 178.5	27.281 
Mn	 38.991	 172.2	36.537 
Fe	 59.743	 181.7	63.351 
Co	 76.341	 161.0	85.234 
Ni	 151.117	 146.4	172.985 
Cu	 74.493	 132.2	118.406 
Zn	 823.865	 149.9	1541.425 
Ga	 23.608	 176.6	66.348 
Ge	 28.800	 183.1	58.130 
As	 27.304	 184.5	49.408 
Se	 39.951	 169.4	77.463 
Br	 46.500	 115.1	138.221 
Kr	 2.278	 141.7	26.565 
Rb	 5.855	 180.7	45.950 
Sr	 231.358	 119.5	1101.058 
Y	 13.541	 149.6	27.221 
Zr	 5.036	 39.0	5.949 
Nb	 18.485	 92.5	14.973 
Mo	 30.754	 122.8	21.145 
Tc	 45.531	 151.7	28.594 
Ru	 57.531	 170.5	35.997 
Rh	 64.212	 183.8	47.393 
Pd	 248.235	 118.4	316.803 
Ag	 63.213	 151.1	94.200 
Cd	 485.958	 80.9	1017.216 
In	 30.006	 170.2	75.595 
Sn	 23.532	 182.8	46.312 
Sb	 46.238	 170.9	77.603 
Te	 55.339	 154.5	93.414 
I	 40.838	 137.1	112.021 
Xe	 185.751	 155.4	801.989 
Cs	 7.733	 167.5	79.573 
Ba	 128.154	 44.6	707.304 
Lu	 N/A 	 N/A 	N/A 
Hf	 16.873	 111.6	18.550 
Ta	 6.344	 31.3	4.744 
W	 2.429	 8.7	1.331 
Re	 28.774	 93.5	15.127 
Os	 66.157	 166.3	33.826 
Ir	 60.355	 161.9	32.755 
Pt	 97.299	 177.1	69.359 
Au	 92.933	 149.3	98.264 
Hg	 1043.345	 160.3	1509.213 
Tl	 21.728	 184.8	56.106 
Pb	 29.489	 184.6	68.839 
Bi	 21.732	 181.4	40.275 
Po	 41.202	 184.0	60.748 
Rn	 7.522	 182.9	61.729 
--------------------
np.mean  4770.188	 144.0	676.472
np.std   37628.169	 70.2	2553.096
np.max   317217.288	 580.9	18208.269 	 (O, Be, O)
np.min   0.266	 8.7	1.331 	 (He, W, W)
--------------------
